Kinase,HGNC,Perc,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
ALK,ALK,0.92,-1,0.92,-1,-1,0.4448780657504607,96,0.9200000000000003
ARAF,ARAF,0.6685714285714286,-1,0.6685714285714286,-1,-1,0.38306336595036405,75,0.6685714285714286
ATM,ATM,0.7028571428571428,-1,0.7028571428571428,-1,-1,0.39149264319583177,83,0.7028571428571428
ATR,ATR,0.9,-1,0.9,-1,-1,0.4399609873572711,95,0.9
AURKA,AURKA,0.9542857142857144,-1,0.9542857142857144,-1,-1,0.4533073429959283,98,0.9542857142857141
AURKB,AURKB,0.7485714285714286,-1,0.7485714285714286,-1,-1,0.40273167952312205,88,0.7485714285714286
AURKC,AURKC,0.3514285714285714,-1,0.3514285714285714,-1,-1,0.3050925514297877,38,0.3514285714285714
AXL,AXL,0.3057142857142857,-1,0.3057142857142857,-1,-1,0.29385351510249735,32,0.3057142857142855
BLK,BLK,0.18857142857142856,-1,0.18857142857142856,-1,-1,0.26505348451381605,17,0.18857142857142858
BMP2K,BMP2K,0.03428571428571429,-1,0.03428571428571429,-1,-1,0.22712173690921134,2,0.03428571428571429
BMPR1A,BMPR1A,0.5342857142857143,-1,0.5342857142857143,-1,-1,0.35004869673894884,60,0.5342857142857143
BMPR1B,BMPR1B,0.6371428571428571,-1,0.6371428571428571,-1,-1,0.375336528475352,72,0.6371428571428571
BMPR2,BMPR2,0.24571428571428572,-1,0.24571428571428572,-1,-1,0.2791022799229289,26,0.24571428571428572
BMX,BMX,0.5914285714285714,-1,0.5914285714285714,-1,-1,0.3640974921480617,67,0.5914285714285714
BRAF,BRAF,0.4257142857142857,-1,0.4257142857142857,-1,-1,0.32335598546163435,48,0.4257142857142855
BRSK1,BRSK1,0.24285714285714283,-1,0.24285714285714283,-1,-1,0.27839984015247327,25,0.24285714285714285
