Dataset,HGNC,CombinedScore
C3N_C3NPC_STK_creedencombined.csv,PIK3CA,0.17278228243908555
C3N_C3NPC_STK_creedencombined.csv,PIK3CB,0.09988121461402333
C3N_C3NPC_STK_creedencombined.csv,PIK3CG,0.12206849612599885
C3N_C3NPC_STK_creedencombined.csv,PIK3R4,0.1875738034470693
C3N_C3NPC_STK_creedencombined.csv,PINK1,0.27949254113953903
C3N_C3NPC_STK_creedencombined.csv,PKMYT1,0.14425577763797423
C3N_C3NPC_STK_creedencombined.csv,PLK1,0.6471022494680865
C3N_C3NPC_STK_creedencombined.csv,PLK2,0.4970238436916123
C3N_C3NPC_STK_creedencombined.csv,PLK4,0.5339283697022207
C3N_C3NPC_STK_creedencombined.csv,PNCK,0.3767021786093481
C3N_C3NPC_STK_creedencombined.csv,PRKCH,0.42467806242313927
C3N_C3NPC_STK_creedencombined.csv,PRKD2,0.2630984650251563
C3N_C3NPC_STK_creedencombined.csv,PRKD3,0.3049235945038458
C3N_C3NPC_STK_creedencombined.csv,PRKX,0.8532991813962232
C3N_C3NPC_STK_creedencombined.csv,PRKY,0.7571460432431434
C3N_C3NPC_STK_creedencombined.csv,PRPF4B,0.46962644733991854
C3N_C3NPC_STK_creedencombined.csv,PTK2,0.32492364137834606
C3N_C3NPC_STK_creedencombined.csv,PTK2B,0.448538495516495
C3N_C3NPC_STK_creedencombined.csv,PTK6,0.35450668339431335
C3N_C3NPC_STK_creedencombined.csv,PXK,0.28054907835439513
C3N_C3NPC_STK_creedencombined.csv,RET,0.37775050212114475
C3N_C3NPC_STK_creedencombined.csv,RIOK1,0.14214270320826236
C3N_C3NPC_STK_creedencombined.csv,RIPK1,0.22473586911224996
C3N_C3NPC_STK_creedencombined.csv,RIPK2,0.21858511477714862
C3N_C3NPC_STK_creedencombined.csv,RIPK3,0.4363218182397383
C3N_C3NPC_STK_creedencombined.csv,ROCK2,0.47108353705657996
C3N_C3NPC_STK_creedencombined.csv,RPS6KA4,0.6315609254169321
C3N_C3NPC_STK_creedencombined.csv,RPS6KB2,0.5023950843798026
C3N_C3NPC_STK_creedencombined.csv,RPS6KL1,0.24673988747900383
C3N_C3NPC_STK_creedencombined.csv,SCYL1,0.10833351233287117
C3N_C3NPC_STK_creedencombined.csv,SCYL2,0.3418282368160416
C3N_C3NPC_STK_creedencombined.csv,SCYL3,0.1622169102905259
C3N_C3NPC_STK_creedencombined.csv,SGK2,0.4087619896258776
C3N_C3NPC_STK_creedencombined.csv,SGK3,0.5808640565355644
C3N_C3NPC_STK_creedencombined.csv,SIK1,0.15697141318416447
C3N_C3NPC_STK_creedencombined.csv,SIK2,0.09669402070017076
C3N_C3NPC_STK_creedencombined.csv,SMG1,0.10622043790315917
C3N_C3NPC_STK_creedencombined.csv,SNRK,0.20764801052933274
C3N_C3NPC_STK_creedencombined.csv,SRMS,0.2657575573464114
C3N_C3NPC_STK_creedencombined.csv,SRPK1,0.23300490368587623
C3N_C3NPC_STK_creedencombined.csv,SRPK2,0.38197665098056865
C3N_C3NPC_STK_creedencombined.csv,STK10,0.2727065520755951
C3N_C3NPC_STK_creedencombined.csv,STK11,0.542099190252145
C3N_C3NPC_STK_creedencombined.csv,STK16,0.34943694475185355
C3N_C3NPC_STK_creedencombined.csv,STK17A,0.36733241229507857
C3N_C3NPC_STK_creedencombined.csv,STK24,0.2921709877178108
C3N_C3NPC_STK_creedencombined.csv,STK25,0.22560914318188433
C3N_C3NPC_STK_creedencombined.csv,STK26,0.17595189408365358
C3N_C3NPC_STK_creedencombined.csv,STK3,0.5687222738073738
C3N_C3NPC_STK_creedencombined.csv,STK33,0.15270807535682213
C3N_C3NPC_STK_creedencombined.csv,STK36,0.27740443735884457
C3N_C3NPC_STK_creedencombined.csv,STK38,0.20159612252458803
C3N_C3NPC_STK_creedencombined.csv,STK38L,0.18560416125332446
C3N_C3NPC_STK_creedencombined.csv,STK39,0.2534903779747174
C3N_C3NPC_STK_creedencombined.csv,STK4,0.3669775316160476
C3N_C3NPC_STK_creedencombined.csv,STK40,0.19391302673620514
C3N_C3NPC_STK_creedencombined.csv,STYK1,0.19813917559562905
C3N_C3NPC_STK_creedencombined.csv,SYK,0.4231816023599518
C3N_C3NPC_STK_creedencombined.csv,TAOK1,0.21712184402440482
C3N_C3NPC_STK_creedencombined.csv,TBK1,0.5151264933796229
C3N_C3NPC_STK_creedencombined.csv,TEC,0.22772221761159636
C3N_C3NPC_STK_creedencombined.csv,TEK,0.11678581005171897
C3N_C3NPC_STK_creedencombined.csv,TESK1,0.13686001713398246
C3N_C3NPC_STK_creedencombined.csv,TESK2,0.3323194018823379
C3N_C3NPC_STK_creedencombined.csv,TGFBR1,0.3955998779843156
C3N_C3NPC_STK_creedencombined.csv,TGFBR2,0.5395275294256886
C3N_C3NPC_STK_creedencombined.csv,TLK1,0.19274154486883097
C3N_C3NPC_STK_creedencombined.csv,TNIK,0.0704154161230814
C3N_C3NPC_STK_creedencombined.csv,TNK2,0.4348035117233674
C3N_C3NPC_STK_creedencombined.csv,TNNI3K,0.46259522196638203
C3N_C3NPC_STK_creedencombined.csv,TP53RK,0.12934089694674739
C3N_C3NPC_STK_creedencombined.csv,TRIB3,0.3323194018823379
C3N_C3NPC_STK_creedencombined.csv,TRPM7,0.2573052596275637
C3N_C3NPC_STK_creedencombined.csv,TTK,0.41193111738327287
C3N_C3NPC_STK_creedencombined.csv,TXK,0.14953846371225418
C3N_C3NPC_STK_creedencombined.csv,TYK2,0.29745367379209064
C3N_C3NPC_STK_creedencombined.csv,TYRO3,0.28054907835439513
C3N_C3NPC_STK_creedencombined.csv,UHMK1,0.31964095530406617
C3N_C3NPC_STK_creedencombined.csv,ULK1,0.2823250408269257
C3N_C3NPC_STK_creedencombined.csv,VRK3,0.26889953953167256
C3N_C3NPC_STK_creedencombined.csv,WEE1,0.38197665098056865
C3N_C3NPC_STK_creedencombined.csv,WNK1,0.26467309487031576
C3N_C3NPC_STK_creedencombined.csv,YES1,0.3523936089646014
C3N_C3NPC_STK_creedencombined.csv,ZAP70,0.3872593370548486
C3N_C3NPC_STK_creedencombined.csv,CDKL1,0.2719830627862134
C3N_C3NPC_STK_creedencombined.csv,CDKL2,0.2567874570523636
C3N_C3NPC_STK_creedencombined.csv,CDK10,0.4457049163621558
C3N_C3NPC_STK_creedencombined.csv,DAPK2,0.14848736217786343
C3N_C3NPC_STK_creedencombined.csv,MAPK4,0.36208889690718504
C3N_C3NPC_STK_creedencombined.csv,CDK13,0.34384020077849686
C3N_C3NPC_STK_creedencombined.csv,CDK14,0.34384020077849686
C3N_C3NPC_STK_creedencombined.csv,CDK17,0.34384020077849686
C3N_C3NPC_STK_creedencombined.csv,CDK11B,0.34384020077849686
C3N_C3NPC_STK_creedencombined.csv,RPS6KA6,0.3377573020689341
C3N_C3NPC_STK_creedencombined.csv,PLK5,0.35904744755240353
C3N_C3NPC_STK_creedencombined.csv,ACVR1C,0.31038425787590185
C3N_C3NPC_STK_creedencombined.csv,ACVR2A,0.31038425787590185
C3N_C3NPC_STK_creedencombined.csv,ACVRL1,0.31038425787590185
C3N_C3NPC_STK_creedencombined.csv,AMHR2,0.31038425787590185
C3N_C3NPC_STK_creedencombined.csv,CDC42BPB,0.295177011101995
C3N_C3NPC_STK_creedencombined.csv,CDC42BPG,0.295177011101995
C3N_C3NPC_STK_creedencombined.csv,CIT,0.295177011101995
C3N_C3NPC_STK_creedencombined.csv,MAP2K5,0.33471585271415283
C3N_C3NPC_STK_creedencombined.csv,GAK,0.1583117901368337
C3N_C3NPC_STK_creedencombined.csv,GRK4,0.2495552707802746
