Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
MAPK11,MD-041,-0.45789143,LINCSKD_31604,VCAP,120 h,LINCSCP_32055,MCF7,10uM,6h
MAPK11,Htfmt,-0.45756722,LINCSKD_31604,VCAP,120 h,LINCSCP_19974,HCC515,10uM,6h
MAPK11,Ticlopidine,-0.45666056,LINCSKD_31604,VCAP,120 h,LINCSCP_189955,A549,10uM,24h
MAPK11,SPECTRUM_001092,-0.45664289,LINCSKD_31604,VCAP,120 h,LINCSCP_156282,PC3,10uM,24h
MAPK11,Chelidonine,-0.4552329,LINCSKD_31604,VCAP,120 h,LINCSCP_37681,MCF7,3uM,24h
MAPK11,"Apitolisib (gdc-0980, rg7422)",-0.4544575,LINCSKD_31604,VCAP,120 h,LINCSCP_99591,HCC515,0.37uM,24h
MAPK11,BRD-K77007746,-0.45445586,LINCSKD_31604,VCAP,120 h,LINCSCP_35049,MCF7,5uM,24h
MAPK11,CHEMBL1890309,-0.45403695,LINCSKD_31604,VCAP,120 h,LINCSCP_19799,HCC515,10uM,6h
MAPK11,LOPAC-L-133,-0.4536918,LINCSKD_31604,VCAP,120 h,LINCSCP_7455,A549,10uM,6h
MAPK11,CHEMBL585951,-0.453454,LINCSKD_31604,VCAP,120 h,LINCSCP_39375,MDAMB231,0.5uM,24h
MAPK11,MD-II-038,-0.45300079,LINCSKD_31604,VCAP,120 h,LINCSCP_32018,MCF7,10uM,6h
MAPK11,Gemcitabine,-0.45288912,LINCSKD_31604,VCAP,120 h,LINCSCP_35924,MCF7,0.1uM,24h
MAPK11,Resveratrol,-0.45082259,LINCSKD_31604,VCAP,120 h,LINCSCP_91064,HA1E,10uM,24h
MAPK11,MLN 2238,-0.45031201,LINCSKD_31604,VCAP,120 h,LINCSCP_37185,MCF7,3uM,6h
MAPK11,PF431396,-0.45011253,LINCSKD_31604,VCAP,120 h,LINCSCP_132282,MCF7,10uM,3h
MAPK11,D-64131,-0.44985453,LINCSKD_31604,VCAP,120 h,LINCSCP_33611,MCF7,10uM,24h
MAPK11,"1,4-Chrysenequinone",-0.4496854,LINCSKD_31604,VCAP,120 h,LINCSCP_34477,MCF7,10uM,24h
MAPK11,Milciclib (PHA-848125),-0.44959387,LINCSKD_31604,VCAP,120 h,LINCSCP_94171,HA1E,1.11uM,24h
MAPK11,SCHEMBL14379041,-0.44929492,LINCSKD_31604,VCAP,120 h,LINCSCP_54276,SW620,10uM,6h
MAPK11,SB-216763,-0.44925904,LINCSKD_31604,VCAP,120 h,LINCSCP_24787,HS578T,0.5uM,24h
MAPK11,rifampicin,-0.44873928,LINCSKD_31604,VCAP,120 h,LINCSCP_116851,HT29,0.12uM,24h
MAPK11,BRD-K81331655,-0.44853345,LINCSKD_31604,VCAP,120 h,LINCSCP_63410,VCAP,5uM,24h
MAPK11,BRD-K07609594,-0.44827387,LINCSKD_31604,VCAP,120 h,LINCSCP_275725,PC3,5uM,24h
MAPK11,PF750,-0.4465686,LINCSKD_31604,VCAP,120 h,LINCSCP_50671,PL21,80uM,6h
MAPK11,Entinostat,-0.44584694,LINCSKD_31604,VCAP,120 h,LINCSCP_117381,HT29,0.12uM,24h
MAPK11,Naftifine,-0.44572835,LINCSKD_31604,VCAP,120 h,LINCSCP_126250,HT29,10uM,24h
MAPK11,LY456236,-0.44487573,LINCSKD_31604,VCAP,120 h,LINCSCP_13798,HA1E,10uM,24h
MAPK11,CHEMBL520231,-0.44434641,LINCSKD_31604,VCAP,120 h,LINCSCP_43781,OV7,10uM,6h
MAPK11,Cabergoline,-0.44425334,LINCSKD_31604,VCAP,120 h,LINCSCP_108667,HELA,1.11uM,24h
MAPK11,"2-Amino-5,6-dihydro-6-methyl-4H-1,3-thiazine",-0.44360495,LINCSKD_31604,VCAP,120 h,LINCSCP_22841,HEPG2,10uM,6h
MAPK11,Bifemelane,-0.44349263,LINCSKD_31604,VCAP,120 h,LINCSCP_90405,HA1E,10uM,24h
MAPK11,ZINC01043777,-0.443111,LINCSKD_31604,VCAP,120 h,LINCSCP_59203,VCAP,10uM,24h
MAPK11,CHEMBL593506,-0.44305498,LINCSKD_31604,VCAP,120 h,LINCSCP_31154,MCF7,10uM,24h
MAPK11,SGX-523,-0.44239941,LINCSKD_31604,VCAP,120 h,LINCSCP_117845,HT29,1.11uM,24h
MAPK11,Camptothecin,-0.44206124,LINCSKD_31604,VCAP,120 h,LINCSCP_38863,MCF7,3uM,6h
MAPK11,KUC103676,-0.4415456,LINCSKD_31604,VCAP,120 h,LINCSCP_19815,HCC515,10uM,6h
MAPK11,Amethopterin,-0.44133622,LINCSKD_31604,VCAP,120 h,LINCSCP_252550,MCF7,3uM,24h
MAPK11,SCHEMBL17497408,-0.44132079,LINCSKD_31604,VCAP,120 h,LINCSCP_233458,HT29,3uM,6h
MAPK11,BRD-K30618791-001-01-9,-0.44111883,LINCSKD_31604,VCAP,120 h,LINCSCP_34660,MCF7,10uM,24h
MAPK11,Estrone,-0.44097028,LINCSKD_31604,VCAP,120 h,LINCSCP_26863,HT29,10uM,6h
MAPK11,SB 218795,-0.44042568,LINCSKD_31604,VCAP,120 h,LINCSCP_22957,HEPG2,10uM,6h
MAPK11,AC1LDCW5,-0.43988941,LINCSKD_31604,VCAP,120 h,LINCSCP_22186,HEPG2,10uM,6h
MAPK11,BRD-U88878891,-0.43919625,LINCSKD_31604,VCAP,120 h,LINCSCP_31229,MCF7,10uM,24h
MAPK11,CHEMBL436817,-0.43918195,LINCSKD_31604,VCAP,120 h,LINCSCP_10318,A673,40uM,6h
MAPK11,Aclidinium Bromide,-0.43885316,LINCSKD_31604,VCAP,120 h,LINCSCP_125473,HT29,0.37uM,24h
MAPK11,Panobinostat,-0.43837749,LINCSKD_31604,VCAP,120 h,LINCSCP_37065,MCF7,10uM,6h
MAPK11,BRD-K12511144,-0.43819239,LINCSKD_31604,VCAP,120 h,LINCSCP_247770,MCF7,5uM,24h
MAPK11,Apigenin Triacetate,-0.43805653,LINCSKD_31604,VCAP,120 h,LINCSCP_180273,A375,10uM,6h
MAPK11,Dolastatin 10,-0.43790846,LINCSKD_31604,VCAP,120 h,LINCSCP_143056,MCF7,0.04uM,24h
MAPK11,BMS-387032,-0.43746704,LINCSKD_31604,VCAP,120 h,LINCSCP_36921,MCF7,1uM,6h
MAPK11,MLS003128682,-0.43743026,LINCSKD_31604,VCAP,120 h,LINCSCP_8291,A549,5uM,24h
MAPK11,Dantrolene-13C3,-0.43687226,LINCSKD_31604,VCAP,120 h,LINCSCP_125150,HT29,0.12uM,24h
MAPK11,WZ-7043,-0.4366289,LINCSKD_31604,VCAP,120 h,LINCSCP_26755,HT29,10uM,6h
MAPK11,Maackiain,-0.43660174,LINCSKD_31604,VCAP,120 h,LINCSCP_33453,MCF7,10uM,6h
MAPK11,Decitabine,-0.43543378,LINCSKD_31604,VCAP,120 h,LINCSCP_84663,ASC,3.33uM,24h
MAPK11,BRD-K67374281,-0.43514426,LINCSKD_31604,VCAP,120 h,LINCSCP_61716,VCAP,5uM,6h
MAPK11,Fluspirilene,-0.43492054,LINCSKD_31604,VCAP,120 h,LINCSCP_53499,SKMEL28,5uM,6h
MAPK11,Valsartan,-0.43455233,LINCSKD_31604,VCAP,120 h,LINCSCP_159217,PC3,0.04uM,24h
MAPK11,Dovitinib,-0.43385794,LINCSKD_31604,VCAP,120 h,LINCSCP_87663,HA1E,0.12uM,24h
MAPK11,Benperidol,-0.4335208,LINCSKD_31604,VCAP,120 h,LINCSCP_284500,SKB,10uM,24h
MAPK11,MEK1/2 Inhibitor,-0.43344371,LINCSKD_31604,VCAP,120 h,LINCSCP_13879,HA1E,10uM,6h
MAPK11,Perphenazine,-0.43329702,LINCSKD_31604,VCAP,120 h,LINCSCP_242896,MCF7,10uM,24h
MAPK11,BRD-K23582869-001-01-3,-0.43302463,LINCSKD_31604,VCAP,120 h,LINCSCP_47093,PC3,10uM,24h
MAPK11,NVP-AEW541,-0.43286205,LINCSKD_31604,VCAP,120 h,LINCSCP_24997,HS578T,10uM,6h
MAPK11,PHA-793887,-0.43267022,LINCSKD_31604,VCAP,120 h,LINCSCP_81471,A549,0.04uM,24h
MAPK11,Gimeracil,-0.43246131,LINCSKD_31604,VCAP,120 h,LINCSCP_153728,PC3,1.11uM,24h
MAPK11,Terbinafine,-0.4318951,LINCSKD_31604,VCAP,120 h,LINCSCP_125530,HT29,10uM,24h
MAPK11,SAR245409,-0.43181878,LINCSKD_31604,VCAP,120 h,LINCSCP_164241,SKL.C,0.37uM,24h
MAPK11,DH 97,-0.43172812,LINCSKD_31604,VCAP,120 h,LINCSCP_23023,HEPG2,10uM,6h
MAPK11,BRD-K60151881,-0.43164251,LINCSKD_31604,VCAP,120 h,LINCSCP_196795,A549,5uM,24h
MAPK11,C21H27N7O3,-0.43143442,LINCSKD_31604,VCAP,120 h,LINCSCP_150865,PC3,10uM,24h
MAPK11,ALD1-H_001128,-0.43117147,LINCSKD_31604,VCAP,120 h,LINCSCP_46334,PC3,10uM,6h
MAPK11,BRD-K19436903,-0.42972203,LINCSKD_31604,VCAP,120 h,LINCSCP_35012,MCF7,5uM,24h
MAPK11,AC1MEVG9,-0.42971805,LINCSKD_31604,VCAP,120 h,LINCSCP_51015,RMGI,10uM,6h
MAPK11,Belinostat,-0.4294268,LINCSKD_31604,VCAP,120 h,LINCSCP_32311,MCF7,10uM,6h
MAPK11,altrenogest,-0.42939679,LINCSKD_31604,VCAP,120 h,LINCSCP_139857,MCF7,0.37uM,24h
MAPK11,MLS002264363,-0.42937366,LINCSKD_31604,VCAP,120 h,LINCSCP_31345,MCF7,10uM,24h
MAPK11,NINDS_000152,-0.42851563,LINCSKD_31604,VCAP,120 h,LINCSCP_16325,HA1E,10uM,6h
MAPK11,CHEMBL3188661,-0.4279581,LINCSKD_31604,VCAP,120 h,LINCSCP_134013,MCF7,10uM,24h
MAPK11,Xaliproden,-0.42795389,LINCSKD_31604,VCAP,120 h,LINCSCP_52664,SKB,10uM,24h
MAPK11,MW-SHH-61,-0.42708148,LINCSKD_31604,VCAP,120 h,LINCSCP_221717,HEPG2,10uM,6h
MAPK11,Givinostat,-0.4268321,LINCSKD_31604,VCAP,120 h,LINCSCP_32030,MCF7,10uM,6h
MAPK11,NCGC00092314-01,-0.42651969,LINCSKD_31604,VCAP,120 h,LINCSCP_191524,A549,10uM,6h
MAPK11,PP-30,-0.42645956,LINCSKD_31604,VCAP,120 h,LINCSCP_54212,SW620,10uM,6h
MAPK11,4LY1,-0.42578671,LINCSKD_31604,VCAP,120 h,LINCSCP_17417,HA1E,0.12uM,24h
MAPK11,BRD-K68190084,-0.425646,LINCSKD_31604,VCAP,120 h,LINCSCP_35085,MCF7,5uM,24h
MAPK11,WZ3105,-0.42525933,LINCSKD_31604,VCAP,120 h,LINCSCP_99437,HCC515,0.04uM,24h
MAPK11,"Epothilone B (EPO906, Patupilone)",-0.42494074,LINCSKD_31604,VCAP,120 h,LINCSCP_142101,MCF7,0.12uM,24h
MAPK11,BRD-K86529788,-0.42493035,LINCSKD_31604,VCAP,120 h,LINCSCP_249101,MCF7,5uM,24h
MAPK11,GSK-461364,-0.42471965,LINCSKD_31604,VCAP,120 h,LINCSCP_70050,A375,0.37uM,24h
