HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
MAPK11,-1,0.6228571428571429,-1,0.9132134480062548,0.5163930070845136,85,0.507415606824868
MAPK12,-1,0.6142857142857143,-1,0.9132134480062548,0.5139394061686955,84,0.5037201286340658
MAPK13,-1,0.3485714285714286,-1,0.9132134480062548,0.43787777777833187,71,0.38916030471919594
MAPK15,-1,0.2914285714285714,-1,0.9882720875684128,0.4366823145019456,70,0.3873597639559001
MAPK6,-1,0.2171428571428571,-1,0.9882720875684128,0.4154177732315213,64,0.3553322863022804
MAPK7,-1,0.6085714285714285,-1,0.9882720875684128,0.5274655483872183,85,0.5240924570155835
MAPKAPK3,-1,0.10285714285714286,0.6568627450980392,0.8506645817044566,0.45100397771089157,75,0.4089302621177931
MAPKAPK5,-1,0.7485714285714286,-1,0.8506645817044566,0.5397442570478456,87,0.542585969866035
MARK2,-1,0.4685714285714286,-1,-1,0.33389258201846905,38,0.23254354580804446
MARK3,-1,0.3,-1,-1,0.29244863556158607,23,0.17012296254007797
MARK4,-1,0.02,-1,-1,0.2236095380569331,2,0.06644131575599826
MAST1,-1,0.19428571428571428,-1,-1,0.26645836405472734,13,0.13097785099915
MAST2,-1,0.06,-1,-1,0.23344369484331212,4,0.08125297958229541
MATK,-1,0.2057142857142857,-1,-1,0.26926812313654985,14,0.1352097549495205
MELK,-1,0.33714285714285713,-1,0.05003909304143862,0.2602447340229561,12,0.12161922461452157
MERTK,-1,0.4342857142857143,-1,-1,0.32546330477300134,34,0.21984783395693264
MET,-1,0.5085714285714286,-1,-1,0.34372673880484805,43,0.24735520963434154
MKNK1,-1,0.3342857142857143,-1,0.8506645817044566,0.4211535461166335,66,0.36397119064392597
MKNK2,-1,0.24857142857142855,-1,0.8506645817044566,0.39661753695845176,61,0.3270164087359035
MOK,-1,0.23714285714285716,-1,-1,0.276994960611562,17,0.14684749081303974
MOS,-1,0.09142857142857144,-1,0.5754495699765442,0.29604130757297936,24,0.17553404670589162
MST1R,-1,0.13714285714285715,-1,-1,0.2524095686456145,9,0.10981833124729698
MYLK2,-1,0.4,-1,0.5629397967161845,0.38184396118203356,55,0.3047652648233196
MYO3A,-1,0.2542857142857143,-1,-1,0.28120959923429584,19,0.15319534673859564
NEK10,-1,0.12285714285714286,-1,-1,0.24889736979333626,8,0.10452845130933372
NEK11,-1,0.06285714285714286,-1,0.23768569194683348,0.2196341951227783,1,0.06045387378064747
NEK2,-1,0.8371428571428572,-1,0.23768569194683348,0.44127614451835395,72,0.3942787370164513
NEK3,-1,0.4085714285714286,-1,0.23768569194683348,0.3185960987274449,31,0.20950482747633845
NEK4,-1,0.35714285714285715,-1,0.23768569194683348,0.3038744932325358,26,0.18733195833152488
NEK6,-1,0.8457142857142858,-1,0.23768569194683348,0.4437297454341721,73,0.3979742152072535
NEK8,-1,0.2542857142857143,-1,0.23768569194683348,0.2744312822427176,16,0.14298622004189782
NEK9,-1,0.48,-1,0.23768569194683348,0.3390427730259297,41,0.24030047906635726
NIM1K,-1,0.15142857142857144,-1,-1,0.2559217674978927,11,0.11510821118526023
NLK,-1,0.3514285714285714,-1,0.9007036747458952,0.436168665389871,70,0.38658613403134334
NPR2,-1,0.6714285714285714,-1,-1,0.3837658057208197,57,0.3076598409271226
NRBP2,-1,0.22857142857142856,-1,-1,0.274887641300195,16,0.1436735628502617
NTRK1,-1,0.3057142857142857,-1,-1,0.29385351510249735,24,0.17223891451526327
NTRK2,-1,0.9742857142857144,-1,-1,0.45822442138911784,77,0.41980529561194363
NTRK3,-1,0.52,-1,-1,0.3465364978866707,44,0.25158711358471225
NUAK1,-1,0.4428571428571429,0.19607843137254904,0.12509773260359655,0.2842271614299547,20,0.15774023226238024
NUAK2,-1,0.31142857142857144,-1,0.12509773260359655,0.2680458074379031,14,0.133368770550834
OXSR1,-1,0.1457142857142857,-1,0.36278342455043,0.26862213091302334,14,0.13423679713960135
